ARTICULO;CORTE;FECHA;programa;PROCESO;BODEGA;SALDO;CORTE;TALLER;T.EXTERNO;LIMPIADO;LAVANDERIA;TERMINACION;MUESTRA;SEGUNDA;TALLER
01422800  ;09661217;09/01/2026;0000004;000000;000000; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01422800  ;00961217;09/01/2026;0000000;000004;000000; 00004; 000000; 000000; 000000; 000000; 000004; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01422800  ;00961227;16/01/2026;0000000;000001;000000; 00001; 000000; 000001; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01422900  ;00011535;11/12/2025;0000000;000495;000491; 00004; 000000; 000000; 000000; 000000; 000000; 000004; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01423000  ;00011536;12/12/2025;0000000;000506;000503; 00003; 000000; 000000; 000000; 000000; 000000; 000003; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01423100  ;00961215;05/01/2026;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000000; 000001; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01423300  ;00961210;15/12/2025;0000000;000008;000000; 00008; 000000; 000000; 000000; 000000; 000008; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01423300  ;00011564;02/03/2026;0000000;000489;000000; 00489; 000000; 000000; 000000; 000000; 000489; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01423400  ;00961211;15/12/2025;0000000;000008;000000; 00008; 000000; 000000; 000000; 000000; 000008; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01423400  ;00011563;27/02/2026;0000000;001184;000000; 01184; 000000; 000000; 000000; 000000; 000815; 000369; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01423500  ;00961208;15/12/2025;0000000;000004;000000; 00004; 000000; 000004; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01423500  ;00011569;12/03/2026;0000000;000402;000000; 00402; 000000; 000000; 000000; 000402; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01423600  ;00961212;15/12/2025;0000000;000004;000000; 00004; 000000; 000004; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01423600  ;00961228;20/01/2026;0000000;000001;000000; 00001; 000000; 000001; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01423600  ;00011562;19/02/2026;0000000;000498;000000; 00498; 000000; 000000; 000498; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01423800  ;00961213;15/12/2025;0000000;000004;000000; 00004; 000000; 000000; 000000; 000000; 000004; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01423800  ;00011577;23/03/2026;0000158;000000;000000; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01423900  ;00011561;19/02/2026;0000000;000498;000489; 00009; 000000; 000000; 000000; 000000; 000000; 000009; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01424200  ;00961209;15/12/2025;0000000;000004;000000; 00004; 000000; 000000; 000000; 000000; 000004; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01424200  ;00011576;23/03/2026;0000000;000176;000000; 00176; 000000; 000176; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01424300  ;00961214;15/12/2025;0000000;000004;000000; 00004; 000000; 000000; 000000; 000000; 000004; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01424300  ;00011578;23/03/2026;0000000;000174;000000; 00174; 000000; 000174; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01424700  ;00011549;21/01/2026;0000000;000520;000378; 00142; 000000; 000000; 000000; 000000; 000128; 000014; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01424800  ;00961218;09/01/2026;0000000;000001;000000; 00001; 000000; 000001; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01424801  ;00011580;26/03/2026;0000164;000000;000000; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01424900  ;00011560;19/02/2026;0000000;000468;000000; 00468; 000000; 000000; 000000; 000468; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01425200  ;00961221;14/01/2026;0000000;000001;000000; 00001; 000000; 000001; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01425300  ;09611222;14/01/2026;0000001;000000;000000; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01425300  ;00961222;14/01/2026;0000000;000001;000000; 00001; 000000; 000001; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01425300  ;00961262;10/03/2026;0000000;000001;000000; 00001; 000000; 000001; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01425400  ;00961223;14/01/2026;0000000;000001;000000; 00001; 000000; 000001; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01425500  ;00961224;14/01/2026;0000000;000001;000000; 00001; 000000; 000001; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01425600  ;00011579;25/03/2026;0000144;000000;000000; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
